Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,52.41699981689453,53.34700012207031,52.26150131225586,53.25,53.11954879760742,24752000
2018-01-03,53.21549987792969,54.31449890136719,53.160499572753906,54.124000549316406,53.99140930175781,28604000
2018-01-04,54.400001525878906,54.67850112915039,54.20009994506836,54.31999969482422,54.18692398071289,20092000
2018-01-05,54.70000076293945,55.212501525878906,54.599998474121094,55.11149978637695,54.97648620605469,25582000
2018-01-08,55.11149978637695,55.563499450683594,55.08100128173828,55.34700012207031,55.21141052246094,20952000
2018-01-09,55.470001220703125,55.528499603271484,55.06155014038086,55.3129997253418,55.177490234375,18050000
2018-01-10,54.85499954223633,55.22999954223633,54.80550003051758,55.13050079345703,54.99544143676758,20856000
2018-01-11,55.314998626708984,55.32624816894531,54.97949981689453,55.2760009765625,55.14058303833008,19566000
2018-01-12,55.12049865722656,56.214500427246094,55.057498931884766,56.112998962402344,55.97553253173828,34410000
2018-01-16,56.6254997253418,56.99549865722656,55.8916015625,56.0880012512207,55.950599670410156,31506000
2018-01-17,56.31100082397461,56.630001068115234,55.85049819946289,56.5989990234375,56.46034240722656,24052000
2018-01-18,56.570499420166016,56.6254997253418,55.875,56.489498138427734,56.35110855102539,23964000
2018-01-19,56.59149932861328,56.893001556396484,56.415000915527344,56.8754997253418,56.736167907714844,35564000
2018-01-22,56.8745002746582,57.99399948120117,56.75550079345703,57.79050064086914,57.64892578125,32360000
2018-01-23,57.99250030517578,58.58134841918945,57.9375,58.49850082397461,58.35519027709961,26662000
2018-01-24,58.86650085449219,58.99300003051758,58.0525016784668,58.21200180053711,58.069393157958984,28332000
2018-01-25,58.62649917602539,58.797000885009766,58.13800048828125,58.51850128173828,58.37514114379883,29610000
2018-01-26,58.75400161743164,58.79199981689453,57.90549850463867,58.79199981689453,58.647972106933594,40376000
2018-01-29,58.82400131225586,59.34450149536133,58.5989990234375,58.77899932861328,58.63500213623047,27578000
2018-01-30,58.39149856567383,58.82600021362305,58.17599868774414,58.18450164794922,58.041961669921875,31126000
2018-01-31,58.528499603271484,58.650001525878906,57.95650100708008,58.49700164794922,58.353694915771484,30774000
2018-02-01,58.13050079345703,58.70000076293945,57.875999450683594,58.3849983215332,58.241966247558594,48242000
2018-02-02,56.099998474121094,56.153499603271484,55.36389923095703,55.595001220703125,55.45880126953125,97158000
2018-02-05,54.529998779296875,55.5,52.60150146484375,52.790000915527344,52.660675048828125,75966000
2018-02-06,51.35900115966797,54.08549880981445,51.1568489074707,54.029998779296875,53.89763641357422,68960000
2018-02-07,54.07699966430664,54.0890007019043,52.41299819946289,52.42900085449219,52.300559997558594,47384000
2018-02-08,52.77050018310547,52.930999755859375,50.03300094604492,50.07600021362305,49.95332336425781,57182000
2018-02-09,50.86249923706055,52.19850158691406,49.62799835205078,51.888999938964844,51.76188278198242,70118000
2018-02-12,52.400001525878906,53.07500076293945,52.0463981628418,52.59700012207031,52.46814727783203,41154000
2018-02-13,52.25,52.91849899291992,52.204349517822266,52.60499954223633,52.47612762451172,25302000
2018-02-14,52.4474983215332,53.58599853515625,52.337501525878906,53.48500061035156,53.353973388671875,31116000
2018-02-15,53.95349884033203,54.573951721191406,53.21699905395508,54.47600173950195,54.34254837036133,36868000
2018-02-16,54.420501708984375,55.23350143432617,54.4156494140625,54.7400016784668,54.605899810791016,33590000
2018-02-20,54.528499603271484,55.6974983215332,54.42599868774414,55.12300109863281,54.98796081542969,28462000
2018-02-21,55.32350158691406,56.69850158691406,55.31650161743164,55.56700134277344,55.43087387084961,30258000
2018-02-22,55.80950164794922,56.14099884033203,55.12950134277344,55.33150100708008,55.19594955444336,26344000
2018-02-23,55.63199996948242,56.36399841308594,55.23569869995117,56.339500427246094,56.201480865478516,25220000
2018-02-26,56.38999938964844,57.198001861572266,56.33475112915039,57.1875,57.047401428222656,31182000
2018-02-27,57.0620002746582,57.20199966430664,55.900001525878906,55.91450119018555,55.77751922607422,35482000
2018-02-28,56.1515007019043,56.37649917602539,55.1619987487793,55.23649978637695,55.10118103027344,37652000
2018-03-01,55.39350128173828,55.50600051879883,53.35005187988281,53.47600173950195,53.34499740600586,50318000
2018-03-02,52.65399932861328,54.09994888305664,52.4057502746582,53.94599914550781,53.8138427734375,45432000
2018-03-05,53.75699996948242,54.85499954223633,53.45000076293945,54.54650115966797,54.412872314453125,24044000
2018-03-06,54.96099853515625,55.092498779296875,54.48875045776367,54.75299835205078,54.61886215209961,30656000
2018-03-07,54.45949935913086,55.611000061035156,54.27410125732422,55.481998443603516,55.34607696533203,25850000
